Menu,Energy (kcal),Protein (g),Fat (g),Carbohydrates (g),Sodium (mg),Portion Size (g)
jantung merpati,166.105,29,4.7,0,62,100
jerohan ayam,93.927,14.1,3.8,0,30,100
jerohan menthok,93.927,14.1,3.8,0,30,100
kaldu ayam,7.887,0.5,0.3,0.8,560,100
kikil kambing mentah,70.027,6.5,4.7,0,14,100
kodok hijau,97.99,20.1,1.4,0,42,100
kuah daging kambing belu,15.057,1,1.2,0,2,100
kulit daging itik,336.99,19,28.4,0,59,100
laron,273.894,18.2,21.5,2,55,100
limfa ayam,145.073,25.1,4.2,0,57,100
limfa sapi,145.073,25.1,4.2,0,57,100
otak,159.891,11.1,12.5,0,120,100
otak ayam,159.891,11.1,12.5,0,120,100
rambak mentah,380.966,24.1,30.9,0,51,100
rempelo ayam,166.105,29,4.7,0,62,100
rempelo burung,166.105,29,4.7,0,62,100
rempelo itik,166.105,29,4.7,0,62,100
rempelo menthok,166.105,29,4.7,0,62,100
rempelo merpati,166.105,29,4.7,0,62,100
sate ayam,314.046,25.6,23,0,69,100
sate cekek,405.105,22.9,34.4,0,48,100
sayur sop ayam,71.939,5.9,3.8,3.4,23,100
semur daging,221.075,11.1,16.2,15.5,13,100
semur daging ayam belu,458.88,10.8,47.6,0,29,100
tawon muda (kangsen),284.888,15,21,8,13,100
baso somay,207.93,3.7,0.4,45.7,6,100
bedhek,58.077,8.1,1.5,2.5,125,100
belut segar mentah,112.091,21.4,2.3,0,55,100
telur ikan lele,162.998,19.8,8.4,0.8,108,100
telur ikan kating,162.998,19.8,8.4,0.8,108,100
telur ikan gabus,162.998,19.8,8.4,0.8,108,100
telur ikan luthok mentah,162.998,19.8,8.4,0.8,108,100
telur ikan bethik mentah,162.998,19.8,8.4,0.8,108,100
tepung ikan teri,374.991,65.6,10.5,0,349,100
terasi merah,104.921,18.5,2.9,0,824,100
tumis ikan teri,101.097,14.8,4.3,0,40,100
undur-undur,53.058,11.4,0.5,0,39,100
udang segar,79.109,16.7,0.9,0,179,100
udang kering,305.92,66.4,2.5,0,227,100
cakalang,104.921,18.5,2.9,0,50,100
cumi-cumi segar,146.985,25,2.2,5,70,100
hati ikan bojor,157.023,24.4,5.5,0.9,51,100
ikan asin belanak,244.975,53.1,2,0,2893,100
ikan asin bilis,244.975,53.1,2,0,2893,100
ikan asin gabus,244.975,53.1,2,0,2893,100
ikan asin goreng,162.042,13,12,0,35,100
ikan asin japuh,158.935,16.3,10.4,0,2072,100
ikan asin juwi,244.975,53.1,2,0,2893,100
